2004 Total Points
49
37
71
62
30
42
93
50
38
64
40
70
46
53
33
58
66
37
35
87
23
31
60
76
58
67
33
51
32
35
65
39
42
43
43
79
65
72
70
76
51
56
73
33
65
24
40
21
40
51
72
59
84
37
46
24
63
51
28
17
51
59
59
38
26
87
38
27
51
31
21
52
38
42
66
57
59
73
66
63
52
62
31
32
58
45
80
48
66
45
36
65
55
54
59
67
54
55
76
33
58
44
71
77
48
44
48
28
59
59
27
41
73
51
28
49
56
52
21
42
35
32
47
29
34
35
58
45
26
50
41
105
49
89
71
16
48
48
60
37
45
57
60
47
51
36
19
38
16
24
75
74
47
41
45
82
54
73
50
83
55
29
66
68
33
52
16
69
37
58
56
70
40
51
78
44
50
37
51
52
57
43
51
51
55
36
23
43
68
76
50
31
33
51
79
55
34
36
69
84
53
58
37
39
41
47
41
63
61
55
19
59
56
48
59
59
24
89
62
41
51
43
34
63
49
49
55
46
41
60
37
52
41
58
46
45
35
45
72
32
48
54
75
54
58
41
38
36
45
49
31
43
86
38
86
55
57
66
41
30
70
49
61
26
68
56
40
77
23
68
57
49
66
43
51
47
44
44
72
22
44
58
23
60
133
45
61
52
41
60
64
40
44
33
55
67
27
51
12
55
63
49
62
77
52
29
59
74
52
38
40
62
30
27
40
37
56
27
59
33
55
33
79
30
58
65
54
51
54
30
80
37
92
59
45
54
71
67
54
45
40
74
50
79
66
63
22
52
49
68
68
31
37
36
44
36
66
41
62
32
33
73
86
44
40
58
16
52
43
48
48
42
30
64
52
44
63
37
51
47
22
19
38
77
87
73
56
39
38
71
45
37
62
40
33
50
37
64
57
58
17
10
76
37
36
69
53
51
27
55
26
57
45
66
52
47
71
48
97
65
51
114
37
30
30
37
90
57
30
62
29
51
58
28
38
38
34
91
72
59
49
61
61
50
62
76
44
102
49
74
54
72
46
46
73
65
23
36
27
46
31
72
45
72
54
51
20
23
29
31
21
69
66
43
21
82
37
38
55
58
54
69
58
27
61
42
60
37
59
54
69
75
61
49
31
87
79
27
42
39
65
105
59
44
38
36
51
51
69
21
59
79
67
53
63
52
40
51
51
59
48
61
65
76
76
66
44
55
77
16
30
52
31
60
36
30
33
119
58
76
44
65
52
91
98
57
41
54
66
94
48
57
48
83
23
27
56
84
85
55
35
58
91
105
55
56
62
53
50
40
38
40
29
50
27
42
70
79
69
61
68
63
23
41
60
30
63
54
57
52
86
27
38
42
43
58
76
59
58
62
33
73
73
80
36
63
58
38
61
110
49
28
60
50
36
87
57
59
51
29
49
35
71
40
58
50
81
34
75
45
73
45
58
64
25
59
69
59
68
34
47
37
52
92
84
64
71
54
53
73
23
33
51
71
24
73
65
90
76
29
46
57
61
39
64
63
46
20
68
31
34
60
66
23
77
72
47
66
46
32
90
79
51
90
65
62
27
57
26
62
55
53
66
42
45
79
