2020 Total Points
80
53
59
42
55
88
61
38
58
45
66
55
37
66
45
44
40
99
29
55
53
48
33
50
51
56
68
62
61
64
51
65
75
32
31
54
23
52
34
61
24
70
49
100
61
81
55
87
30
52
72
86
42
38
73
43
73
79
57
70
71
78
34
40
37
119
58
47
45
104
57
57
90
62
29
58
61
69
55
80
59
48
47
62
78
75
59
64
34
35
78
57
52
48
35
54
76
83
65
69
38
37
47
65
67
33
48
72
35
60
64
80
73
86
59
79
47
48
98
101
62
23
65
47
46
54
77
61
58
59
35
60
68
52
68
26
38
59
111
70
57
111
71
69
41
59
50
50
80
52
76
55
50
44
51
19
99
54
60
51
63
42
41
87
52
59
54
65
62
29
55
44
52
66
68
69
64
69
70
65
63
52
42
69
47
91
85
29
44
39
65
43
58
45
74
71
48
75
23
30
70
61
76
55
71
52
53
46
73
53
33
55
66
40
23
41
55
89
64
38
47
51
41
52
59
74
62
55
51
17
27
65
36
48
41
44
58
71
56
59
44
77
75
75
79
59
41
72
88
73
58
63
78
90
85
45
51
56
71
50
79
69
57
41
43
58
85
45
68
67
47
80
30
59
55
86
73
34
56
59
70
33
29
61
55
37
48
67
41
52
54
71
72
55
38
58
16
90
69
51
76
87
49
37
29
66
72
34
86
52
69
79
50
73
57
42
72
30
72
50
112
56
73
49
24
53
43
48
30
51
73
48
76
78
17
77
64
67
44
47
47
47
72
98
52
51
60
101
60
51
48
44
59
104
96
73
56
54
30
65
26
28
55
51
31
57
92
55
64
70
77
59
44
43
80
45
37
73
58
47
69
24
62
61
66
45
70
47
54
27
29
55
90
71
50
72
68
43
45
46
104
48
59
54
47
79
65
94
90
44
54
41
57
44
62
111
51
38
45
90
63
66
69
57
55
69
49
67
61
55
30
27
89
63
17
45
61
82
37
45
73
42
45
29
98
58
51
51
56
100
20
64
30
64
65
34
65
95
29
66
63
56
20
50
25
48
75
36
57
39
59
23
37
46
38
55
59
48
41
72
63
33
43
54
56
51
76
54
88
77
50
63
66
51
63
57
59
38
74
55
41
37
63
47
80
15
57
88
35
45
59
91
26
60
71
62
81
34
48
51
42
88
59
35
66
49
55
48
47
32
73
17
101
83
44
37
54
77
95
51
98
79
